Time,Matrix_Dim,Local_Mem,Block_Size
0.01448,4,0,1
0.01576,8,1,8
0.01848,16,1,16
0.02496,32,1,8
0.07304,64,1,16
0.49456,128,1,16
1.33136,256,1,16
10.7056,512,1,16
