Time,Matrix_Dim,Local_Mem,Block_Size
0.01704,4,1,1
0.03696,8,1,1
0.16872,16,1,1
1.2536,32,1,1
9.1236,64,1,1
68.3448,128,1,1
247.123,256,1,1
1984.06,512,1,1
