Time,Matrix_Dim,Local_Mem,Block_Size
0.01816,4,1,2
0.0328,8,1,1
0.09216,16,1,1
0.48608,32,1,1
3.5172,64,1,1
27.4682,128,1,1
213.272,256,1,1
1324.74,512,1,1
