Time,Matrix_Dim,Local_Mem,Block_Size
0.01032,4,1,2
0.0112,8,1,4
0.01272,16,1,8
0.02016,32,1,16
0.03432,64,1,16
0.1592,128,1,16
1.00408,256,1,16
5.45616,512,1,16
